ID,Price,Price per sqm,Rooms,Area_total,Kitchen_area,Storeys,District ID,Latitude,Longitude,Construction Type,Renovation State,Construction Year,Log_Price,Log_Price per sqm,balcony,bathroom_num,wardrobe,view,furnished,appliances,floor_heating,air_conditioning,parking,security_features,renovation_quality,distance_to_nearest_metro_stations_m,sports_centers_count,supermarkets_count,schools_count,kindergartens_count,cafes_restaurants_count,public_transport_count,distance_to_nearest_woods_parks_m,distance_to_nearest_water_reservoirs_m,Floor
1752434818.0,1078379.0,27647.0,1.0,39.0,14.0,21.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,13.890970472974136,10.22730867160378,False,1.0,True,False,False,False,False,False,False,True,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,17
1126431103.0,4788169.0,55668.0,2.0,86.0,12.3,23.0,10026800,50.376064,30.540911,монолітно-каркасний,з ремонтом,2008.0,15.38165885045994,10.92717871801999,True,1.0,False,False,False,True,True,False,True,True,5.0,3192.1,1,2,0,2,3,2,214.2,356.6,8
1884577229.0,2914538.0,45551.0,2.0,64.0,12.0,16.0,10026800,50.38259585499748,30.5435105791643,монолітно-каркасний,з ремонтом,1991.3333333333333,14.885222217747229,10.726609809517818,True,1.0,False,False,True,True,False,True,False,False,5.0,2461.7,0,0,0,0,0,0,275.3,432.5,9
1522648791.0,1873632.0,58541.0,1.0,32.0,10.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.443389884821633,10.977499724336004,True,1.0,False,True,True,True,False,False,False,True,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,11
1913982629.0,1661287.0,41553.0,1.0,40.0,11.0,16.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.32310376308959,10.634749065204732,True,2.0,True,False,True,True,False,False,False,False,4.0,2619.1,0,0,0,0,0,0,143.1,441.3,8
1943143051.0,2706357.0,23525.0,3.0,115.0,25.0,13.0,10026800,50.376325,30.540141,монолітно-каркасний,без ремонту,2010.4,14.811114377557896,10.065861471520387,False,1.0,False,False,False,False,False,False,False,False,1.0,3190.3,1,2,0,1,3,2,249.0,368.8,7
726242221.0,3122719.0,61247.0,1.0,51.0,14.0,23.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2013.0,14.954214974865028,11.022686474812629,False,1.0,False,False,False,False,False,False,False,False,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,4
1324831162.0,1373997.0,30520.0,1.0,45.0,15.0,16.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,14.133235296159295,10.326170250261358,False,1.0,False,True,False,False,False,False,True,True,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,13
608985861.0,3539082.0,43177.0,3.0,82.0,18.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,15.079378212005397,10.673086385256404,False,1.0,False,True,True,True,False,False,False,True,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,11
389773834.0,2494012.0,42261.0,2.0,59.0,16.0,19.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.72940361771856,10.651643616126872,False,1.0,False,False,True,True,False,False,False,True,4.0,2619.1,0,0,0,0,0,0,143.1,441.3,11
1701167766.0,1811177.0,45301.0,1.0,40.0,11.0,17.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.40948802027412,10.721106460606912,False,1.0,False,False,False,True,False,True,False,False,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,6
1903361830.0,1790359.0,59665.0,1.0,30.0,16.0,16.0,10026800,50.37833478228433,30.540408389642835,монолітно-каркасний,з ремонтом,2015.5,14.397927274913997,10.996517622908003,False,1.0,True,False,True,True,False,True,True,False,4.0,2983.4,0,2,0,1,3,2,249.6,240.7,14
1789301257.0,2081813.0,35225.0,2.0,59.1,14.4,21.0,10026800,50.378238,30.541067,монолітно-каркасний,з ремонтом,2015.5,14.548750186990455,10.469539725292242,False,1.0,False,False,True,True,False,False,False,False,3.0,2970.9,0,2,0,1,3,2,204.7,197.3,16
956022395.0,3247628.0,46383.0,2.0,70.0,13.0,25.0,10026800,50.375561495825934,30.54185750796876,монолітно-каркасний,з ремонтом,2010.1666666666667,14.9934357496017,10.744709851161437,False,2.0,False,True,False,False,False,False,False,False,1.0,3214.3,1,1,1,2,2,1,208.1,375.0,24
1974423352.0,1873632.0,46050.0,2.0,40.7,9.6,5.0,10026800,50.38259585499748,30.5435105791643,цегляний будинок,з ремонтом,1952.0,14.443389884821633,10.737504756974277,False,1.0,False,False,False,False,False,False,False,False,4.0,2461.7,0,0,0,0,0,0,275.3,432.5,1
1861719448.0,2373267.0,46175.0,1.0,51.4,12.2,25.0,10026800,50.374653,30.542082,монолітно-каркасний,без ремонту,2010.1666666666667,14.679778466251255,10.740215461573598,True,1.0,False,False,False,False,False,False,False,False,3.0,3486.5,1,2,1,2,0,3,293.5,374.8,12
1104514223.0,2456539.0,53170.0,1.0,46.2,20.5,26.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2009.0,14.714264413788207,10.881268413919791,False,1.0,False,False,False,False,False,False,True,True,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,17
1520069960.0,2747993.0,49964.0,2.0,55.0,12.0,16.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.82638174891588,10.81907803929589,False,1.0,False,True,False,False,False,False,False,False,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,14
1706273188.0,1498905.0,49964.0,1.0,30.0,2.0,3.0,10026800,50.382817882791,30.54330167605,монолітно-каркасний,з ремонтом,1991.3333333333333,14.220246066646162,10.81907803929589,False,1.0,False,True,True,True,False,False,True,True,5.0,2447.5,0,0,0,0,0,0,254.8,458.0,3
1551289865.0,2144267.0,28688.0,3.0,74.8,10.4,21.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,14.57830879336098,10.264269053017651,False,1.0,False,False,False,False,False,False,False,False,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,5
789523683.0,1040907.0,25066.0,1.0,41.5,13.4,20.0,10026800,50.38259585499748,30.5435105791643,монолітно-каркасний,без ремонту,1991.3333333333333,13.85560396713067,10.129307519053746,False,1.0,False,True,False,False,False,False,True,False,2.0,2461.7,0,0,0,0,0,0,275.3,432.5,17
1950594022.0,978452.0,48923.0,1.0,20.0,3.0,17.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,13.793728031961544,10.798023352607254,False,1.0,False,False,True,True,False,False,True,True,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,8
1928594879.0,999270.0,55502.0,1.0,18.0,4.0,17.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,13.814781292114564,10.924192352327712,False,1.0,False,False,True,True,False,False,True,True,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,8
972839715.0,1290724.0,51629.0,1.0,25.0,6.0,17.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.070714633970166,10.851858177873694,False,1.0,False,False,True,True,False,False,False,False,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,8
1073306772.0,1324033.0,29437.0,1.0,45.0,15.0,21.0,10026800,50.382817882791,30.54330167605,монолітно-каркасний,з ремонтом,1991.3333333333333,14.09619369490768,10.290041635752532,False,1.0,True,True,False,False,False,False,False,True,5.0,2447.5,0,0,0,0,0,0,254.8,458.0,2
421267394.0,2081813.0,34892.0,2.0,59.7,11.0,22.0,10026800,50.382817882791,30.54330167605,монолітно-каркасний,з ремонтом,1991.3333333333333,14.548750186990455,10.460041515007148,False,1.0,False,True,False,False,False,False,True,True,5.0,2447.5,0,0,0,0,0,0,254.8,458.0,16
1976815561.0,1906941.0,61497.0,1.0,31.0,7.0,20.0,10026800,50.378238,30.541067,монолітно-каркасний,з ремонтом,2015.5,14.461011469856793,11.026759932940609,True,1.0,True,True,True,False,False,True,False,True,4.0,2970.9,0,2,0,1,3,2,204.7,197.3,15
388775429.0,4246898.0,45217.0,3.0,93.9,18.0,25.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,15.261699627519803,10.71925051663626,False,1.0,False,True,False,False,False,False,False,False,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,23
1973939364.0,957634.0,51754.0,1.0,18.5,4.0,17.0,10026800,50.381845133773,30.540431477129,монолітно-каркасний,з ремонтом,2001.4,13.77222198226558,10.854276324817851,True,1.0,False,False,True,True,False,False,True,True,3.0,2645.7,0,0,0,0,0,0,168.0,420.7,3
1129290950.0,4788169.0,52046.0,3.0,92.0,11.0,25.0,10026800,50.378238,30.541067,цегляний будинок,з ремонтом,2015.5,15.38165885045994,10.859902435494435,True,2.0,False,True,False,False,False,False,False,False,1.0,2970.9,0,2,0,1,3,2,204.7,197.3,24
